"function";"bitsAmount";"oldMethod";"ourMethod"
"or";0;0,0026600182056427;0,0046399950981140135
"and";0;0,002589988708496094;0,005195009708404541
"getBestSegments";0;0;0
"or";1;0,0010150134563446044;0,0009549975395202637
"and";1;0,0006200075149536133;0,0011799931526184082
"getBestSegments";1;0,007065010070800781;0,0026300013065338134
"or";2;0,0005999863147735596;0,0007249832153320313
"and";2;0,0005350053310394287;0,0009499907493591309
"getBestSegments";2;0,0013549983501434325;0,0007149934768676758
"or";3;0,0005850017070770264;0,0007600069046020507
"and";3;0,0005450010299682617;0,0010600090026855469
"getBestSegments";3;0,0013750016689300538;0,001559990644454956
"or";4;0,0008450090885162353;0,000934988260269165
"and";4;0,0006099820137023925;0,0013850092887878417
"getBestSegments";4;0,002250021696090698;0,001960015296936035
"or";5;0,0007149994373321534;0,0009750127792358398
"and";5;0,0006250202655792237;0,0012050151824951171
"getBestSegments";5;0,0017900049686431884;0,0009649872779846191
"or";6;0,0007349967956542969;0,0011099934577941894
"and";6;0,0006799936294555664;0,0013349950313568115
"getBestSegments";6;0,002354985475540161;0,0013049662113189698
"or";7;0,0007449984550476074;0,0011599838733673095
"and";7;0,0007249891757965087;0,001480025053024292
"getBestSegments";7;0,004254966974258423;0,00158998966217041
"or";8;0,0008050084114074707;0,0013299942016601562
"and";8;0,0007700026035308838;0,001710003614425659
"getBestSegments";8;0,0031649768352508545;0,0016599833965301515
"or";9;0,0008649945259094239;0,0014250099658966065
"and";9;0,0007900059223175049;0,0017150163650512696
"getBestSegments";9;0,004200011491775513;0,0020400047302246093
"or";10;0,0009350061416625976;0,001499992609024048
"and";10;0,001695007085800171;0,0025300025939941407
"getBestSegments";10;0,0065350174903869625;0,0032349944114685057
"or";11;0,0009399950504302979;0,003130000829696655
"and";11;0,001549994945526123;0,0021400034427642824
"getBestSegments";11;0,004514998197555542;0,002879989147186279
"or";12;0,0008949935436248779;0,001519995927810669
"and";12;0,0008599996566772461;0,002210003137588501
"getBestSegments";12;0,004815018177032471;0,0020849764347076415
"or";13;0,0009150207042694092;0,001885002851486206
"and";13;0,0008149981498718262;0,0020700156688690185
"getBestSegments";13;0,01261000633239746;0,0023899972438812256
"or";14;0,0009150028228759766;0,0020200073719024657
"and";14;0,0008700013160705567;0,0022250115871429443
"getBestSegments";14;0,004985040426254273;0,0033050239086151122
"or";15;0,0009299814701080322;0,002045011520385742
"and";15;0,000990009307861328;0,00237499475479126
"getBestSegments";15;0,004169970750808716;0,0028149962425231935
"or";16;0,0011400043964385985;0,0021350085735321045
"and";16;0,0008549749851226807;0,0025899946689605714
"getBestSegments";16;0,01256500482559204;0,003205043077468872
"or";17;0,0015699982643127442;0,0020649909973144533
"and";17;0,0008349955081939697;0,0026899993419647215
"getBestSegments";17;0,004220026731491089;0,0025649726390838622
"or";18;0,001009988784790039;0,0021250009536743163
"and";18;0,0022550046443939207;0,0026399970054626467
"getBestSegments";18;0,017569983005523683;0,003070002794265747
"or";19;0,0009350180625915527;0,002279996871948242
"and";19;0,000904989242553711;0,002730005979537964
"getBestSegments";19;0,003949987888336182;0,0027100324630737306
"or";20;0,00881500244140625;0,002449983358383179
"and";20;0,008630013465881348;0,0026600003242492677
"getBestSegments";20;0,007734996080398559;0,0031000256538391115
"or";21;0,00047498345375061033;0,006054985523223877
"and";21;0,0005700051784515381;0,03285999894142151
"getBestSegments";21;0,003994983434677124;0,005054992437362671
"or";22;0,00018499493598937987;0,0022700011730194094
"and";22;0,00015000104904174804;0,0064599931240081785
"getBestSegments";22;0,003139990568161011;0,0027400076389312742
"or";23;0,00022498965263366698;0,0025850236415863037
